,Date,Open,High,Low,Close,Adj Close,Volume,SMA,STD_DEV,UB,LB,state
184,2019-08-13,1233.150024,1302.800049,1226.0,1274.75,1274.75,47923444,1274.4749878999999,16.30771877897447,1307.0904254579489,1241.8595503420509,B
183,2019-08-09,1161.849976,1175.5,1152.300049,1162.099976,1162.099976,10043949,1263.1999879,14.45957025035045,1292.119128400701,1234.280847399299,C
182,2019-08-08,1108.349976,1158.0,1095.300049,1152.349976,1152.349976,14262936,1251.7549806,12.389124225067519,1276.533229050135,1226.9767321498648,C
181,2019-08-07,1126.5,1138.550049,1103.099976,1109.400024,1109.400024,11588879,1235.1099854,13.267459108796817,1261.6449036175936,1208.5750671824062,C
180,2019-08-06,1134.75,1149.599976,1122.0,1128.300049,1128.300049,13288909,1223.2649903,16.720802664056762,1256.7065956281135,1189.8233849718863,C
179,2019-08-05,1167.0,1167.0,1128.0,1143.349976,1143.349976,13897461,1210.5049927999999,22.13703075144266,1254.7790543028852,1166.2309312971145,C
178,2019-08-02,1175.699951,1198.25,1162.099976,1184.349976,1184.349976,10865385,1201.3449952999997,27.23259330532397,1255.8101819106475,1146.8798086893519,B
177,2019-08-01,1163.400024,1188.199951,1150.349976,1180.25,1173.75,10344862,1190.1099977,31.532626743336348,1253.1752511866725,1127.0447442133272,B
176,2019-07-31,1175.75,1185.0,1162.400024,1166.25,1159.827148,9705619,1178.9349976999997,34.80437839527656,1248.5437544905528,1109.3262409094466,B
175,2019-07-30,1213.949951,1220.0,1175.949951,1180.900024,1174.3964839999999,9533344,1168.2000001,36.18057155968731,1240.5611432193746,1095.8388569806252,B
174,2019-07-29,1216.900024,1222.0,1205.099976,1210.949951,1204.280884,8058035,1161.8199952,34.73667569400287,1231.2933465880058,1092.3466438119942,B
173,2019-07-26,1231.5,1242.5,1210.0,1213.800049,1207.115356,9320481,1166.9900025,31.002787763767447,1228.9955780275347,1104.9844269724651,B
172,2019-07-25,1264.0,1269.050049,1227.0,1231.5,1224.717773,9968545,1174.9050049,25.44545708600767,1225.7959190720153,1124.0140907279847,A
171,2019-07-24,1273.5,1278.800049,1253.550049,1259.099976,1252.1657710000002,6943982,1189.8750000999999,20.24548330134657,1230.365966702693,1149.3840334973067,A
170,2019-07-23,1285.0,1293.900024,1260.400024,1273.550049,1266.536255,9287951,1204.4000001,17.08038938240798,1238.5607788648158,1170.239221335184,A
169,2019-07-22,1251.0,1284.5,1227.300049,1280.5,1273.447876,13300153,1218.1150025,18.470401179334186,1255.0558048586684,1181.1742001413315,A
168,2019-07-19,1268.199951,1272.949951,1242.699951,1249.0,1242.1213380000002,7468515,1224.5800049,21.84291182017289,1268.2658285403456,1180.8941812596543,B
167,2019-07-18,1282.0,1286.400024,1258.0,1261.849976,1254.900635,5459896,1232.7400025,26.092033579715082,1284.9240696594302,1180.5559353405697,B
166,2019-07-17,1294.300049,1297.0,1280.0,1281.849976,1274.790405,4334958,1244.3000000999998,30.28964674764712,1304.879293595294,1183.7207066047056,B
165,2019-07-16,1279.949951,1294.900024,1277.050049,1293.0,1285.8790279999998,4604019,1255.5099976999998,33.01642352557651,1321.5428447511529,1189.4771506488466,B
164,2019-07-15,1285.0,1289.5,1270.349976,1276.099976,1269.072144,4873164,1262.0250001999998,32.877446953621224,1327.7798941072422,1196.2701062927574,B
163,2019-07-12,1283.0,1300.0,1278.050049,1280.5,1273.447876,7174054,1268.6949952999998,31.261171241358564,1331.2173377827169,1206.1726528172828,B
162,2019-07-11,1287.0,1289.800049,1279.300049,1281.550049,1274.4921880000002,3935460,1273.7000001999997,28.254092381751047,1330.208184963502,1217.1918154364976,B
161,2019-07-10,1280.050049,1289.349976,1268.699951,1278.849976,1271.807007,5494315,1275.6750001999997,25.06848217754453,1325.8119645550887,1225.5380358449106,B
160,2019-07-09,1248.949951,1283.5,1245.5,1280.099976,1273.050049,8016757,1276.3299928999998,21.93818483776476,1320.2063625755293,1232.4536232244702,B
159,2019-07-08,1258.0,1268.099976,1248.199951,1252.050049,1245.154663,6404544,1273.4849977999997,18.88312148292732,1311.2512407658544,1235.718754834145,B
158,2019-07-05,1285.099976,1290.5,1260.0,1263.349976,1256.392334,4995344,1274.9199953999996,15.10794704739656,1305.1358894947928,1244.7041013052064,B
157,2019-07-04,1281.400024,1291.0,1280.0,1284.0,1276.928589,4275148,1277.1349977999996,10.932941422422914,1299.0008806448454,1255.2691149551538,B
156,2019-07-03,1282.900024,1286.5,1275.050049,1282.550049,1275.486694,4026032,1277.2050050999997,7.294213324277504,1291.7934317485547,1262.6165784514446,B
155,2019-07-02,1273.949951,1281.0,1263.300049,1278.5,1271.4589839999999,4638751,1275.7550050999996,4.732682414060664,1285.220369928121,1266.2896402718782,B
154,2019-07-01,1258.050049,1272.650024,1246.449951,1268.849976,1261.862061,6162080,1275.0300050999997,2.4839915576402896,1279.9979882152802,1270.0620219847192,C
153,2019-06-28,1277.099976,1282.849976,1248.650024,1253.099976,1246.19873,8659721,1272.2900026999996,1.609653397292575,1275.5093094945848,1269.0706959054144,C
152,2019-06-27,1293.150024,1296.900024,1271.0,1274.150024,1267.1329349999999,11385972,1271.5500001999997,1.9357702074294036,1275.4215406148585,1267.6784597851408,B
